ageNaiveBayes,ageRandomForest,id,realAge
18-24,18-24,mateofagundez,18-24
18-24,18-24,terevazquez_12,18-24
18-24,10-17,camiib14,18-24
18-24,18-24,luzdaiiana,18-24
18-24,18-24,nikko_cabrera,18-24
18-24,18-24,agusmerlojr,18-24
50-64,25-34,projaok,10-17
25-34,25-34,cgezzio,18-24
18-24,18-24,melo_snowflake,18-24
18-24,18-24,ssdiaz19,18-24
18-24,18-24,nellygalotta,18-24
18-24,18-24,marcelo_pedrozo,18-24
25-34,25-34,galonsobenia,25-34
10-17,18-24,rodrigueeez666,18-24
18-24,18-24,matyasnicolas98,18-24
18-24,18-24,nacho744,18-24
18-24,18-24,delfibruzzone,18-24
18-24,18-24,miligimenezntvg,18-24
18-24,18-24,lnahuelfb,18-24
65-xx,25-34,publicisimpetu,50-64
65-xx,35-49,felipepaullier,25-34
18-24,18-24,romigaray2,18-24
18-24,18-24,marcosfontaine7,18-24
18-24,18-24,paulimoraless,18-24
50-64,35-49,jorge_frias1968,18-24
25-34,18-24,facubringa,18-24
18-24,18-24,tamitoledovazq,18-24
18-24,18-24,agusfiguere,18-24
25-34,18-24,fran_sacco,25-34
10-17,18-24,lariramirez4,10-17
18-24,18-24,iaanerik,18-24
18-24,18-24,caciquepaiva09,18-24
18-24,18-24,carboneraa1891,18-24
18-24,18-24,anarivas_35,10-17
18-24,18-24,cayuyulii,18-24
18-24,18-24,joseerosaa,18-24
18-24,18-24,lubirenc,18-24
25-34,18-24,orellanojuliana,18-24
25-34,18-24,jonisuarez,25-34
18-24,18-24,alvarezfiorelaa,18-24
10-17,25-34,yorugua16,18-24
25-34,18-24,gabriel_218,25-34
18-24,18-24,valentinnn_gg,18-24
18-24,18-24,carorossio1,18-24
25-34,10-17,leanelprooyt,10-17
18-24,18-24,tinch0o,18-24
18-24,18-24,lucasgallasina,18-24
18-24,18-24,aylengarialde,10-17
10-17,18-24,lucasclemente88,10-17
10-17,18-24,pityporcel,10-17
18-24,18-24,azul_cabrera,18-24
25-34,25-34,gambaargentina,18-24
18-24,18-24,magaolalde1,18-24
18-24,18-24,roosii99,18-24
10-17,18-24,marti_barneda,10-17
18-24,18-24,delfiiarballook,10-17
10-17,18-24,jossebrandoni9,10-17
18-24,18-24,juliroldan_,10-17
18-24,18-24,fede_canepa79,18-24
18-24,18-24,jjoacosala_2_5,10-17
18-24,18-24,flor_belieber5,10-17
50-64,18-24,lhraste,10-17
25-34,10-17,analiaf2014,10-17
18-24,18-24,tamicionofrino,18-24
10-17,18-24,rodriibaez8,10-17
18-24,18-24,andisilva25,18-24
25-34,18-24,fabiripoll,18-24
18-24,18-24,yoiikamlofsky,18-24
18-24,18-24,chrispysny,18-24
10-17,18-24,ayeschenfelt,18-24
18-24,18-24,nahuelsantorook,18-24
18-24,18-24,victoriagalello,18-24
18-24,18-24,thaliguiniazu,18-24
10-17,18-24,laurazalazar3,18-24
18-24,18-24,ayllonmiguel,18-24
18-24,18-24,anayfranco2015,18-24
25-34,18-24,ffjorgeramirez,35-49
18-24,18-24,victoriabritos8,10-17
25-34,18-24,nancyblanchar17,35-49
18-24,18-24,amapolaa21,18-24
18-24,18-24,antolabriola_,18-24
25-34,18-24,explosivo06,50-64
18-24,18-24,caamilachaparro,18-24
25-34,18-24,eduardorivolta,25-34
25-34,18-24,juanppineiro,25-34
50-64,35-49,zarazaga_luis,65-xx
25-34,18-24,frannoe1986,25-34
18-24,18-24,juleriveros,18-24
18-24,18-24,feer_delgreco,18-24
18-24,18-24,cami892,10-17
18-24,18-24,s4nz1b0lud0,10-17
18-24,18-24,aileenm87654749,10-17
18-24,18-24,josefinamosser,18-24
18-24,18-24,markuriger,18-24
18-24,10-17,micadeleonc,18-24
18-24,18-24,paurey8,10-17
25-34,25-34,daniel_a_gamboa,25-34
10-17,18-24,mercardinali,18-24
18-24,18-24,ailudisipulo,18-24
18-24,18-24,nicoolemagali,18-24
25-34,18-24,mendeguia54_pn,25-34
18-24,18-24,chocholita17,18-24
18-24,18-24,nahuelgabrielra,18-24
18-24,18-24,_franciscost,18-24
18-24,18-24,macajfarias,18-24
18-24,18-24,tomyvelardez10,10-17
18-24,18-24,braiinacuraok,18-24
10-17,18-24,anfavalok,18-24
18-24,18-24,jona_garciaa,18-24
10-17,18-24,dannyailen,18-24
25-34,18-24,ignacioba23,25-34
18-24,18-24,eliiarancibia02,10-17
18-24,18-24,cabragnr,18-24
18-24,18-24,emi_andes,18-24
10-17,18-24,gonzalezsoff,10-17
18-24,18-24,toomyraffin,18-24
18-24,18-24,s4dnessdepress,10-17
18-24,18-24,karenmartel_,18-24
