screen_name,friends_count,tweets_count,linkedin,snapchat,instagram,facebook,followers_count,favourites_count,qtyMentions,qtyHashtags,qtyUrls,qtyEmojis,qtyUppercase,profile_pic_gender,age
andradaceleste,694,40388,0,0,0,0,801,5039,0.32,0.0,0.05,1.25,5.89,2,18-24
pedrobiurrun,468,11515,0,0,0,0,3766,145,0.58,0.05,0.77,0.03,3.5,1,50-xx
belenboville,477,584,0,0,0,1,593,41,0.76,0.1,0.5,0.02,4.79,2,50-xx
catyforteza,921,686,0,0,0,0,137,190,1.09,0.19,0.16,0.22,1.44,2,25-34
vigelacoaching,257,1228,0,0,0,0,618,420,0.99,0.32,0.43,0.03,3.15,0,35-49
rubiaaaenana,3603,26963,0,0,1,1,3411,6438,0.05,0.01,0.04,0.88,1.41,0,10-17
alfonsomarco,787,5403,0,0,0,0,1201,20,0.01,0.0,0.67,0.03,5.21,1,50-xx
milibarrio_,951,6412,0,0,0,0,1063,3613,0.33,0.0,0.06,0.94,2.18,2,10-17
giulianodanok,3784,13007,0,0,1,0,4397,4914,0.11,0.0,0.27,0.28,1.81,1,18-24
elviralindo,226,1887,0,0,0,0,235937,523,0.6,0.18,0.58,0.04,3.34,2,50-xx
diegocobelo,178,340,0,0,0,0,320,11,0.89,0.61,0.17,0.24,2.3,1,25-34
norberto1956,251,3723,0,0,0,0,574,4194,1.35,0.01,0.16,0.05,3.25,1,50-xx
juantorreslopez,1760,10072,0,0,0,0,53485,1329,0.91,0.02,0.46,0.03,2.6,0,50-xx
rafadiaz1,918,17459,0,0,0,0,4368,6435,1.04,1.0,0.64,0.22,3.37,0,25-34
pep_jimenez,2056,11151,0,0,0,0,1876,456,0.61,0.28,0.76,0.03,3.68,1,35-49
daaaibravo5,1338,22952,0,0,0,1,1292,2128,0.23,0.03,0.09,1.2,2.72,0,18-24
carlosbecler,33,79,0,0,0,0,49,9,0.91,0.37,0.06,0.02,4.44,0,18-24
adelaidauma,278,253,0,0,0,0,2420,2,0.54,0.05,0.6,0.02,3.97,2,50-xx
revistahipismo,196,203,0,0,0,0,152,0,0.0,0.0,0.01,0.09,10.17,0,10-17
julietabolullo,2076,19147,0,0,0,0,2751,4257,0.8,0.57,0.35,1.16,2.17,0,25-34
liilu_franco,1053,43004,0,0,1,0,1270,10235,0.25,0.0,0.18,0.15,0.8,0,10-17
ginesalarcon,392,5850,0,0,0,0,935,1406,0.61,0.1,0.52,0.04,2.9,1,35-49
institutoui,18,468,0,0,0,0,50,2,0.09,0.25,0.89,0.3,5.25,0,18-24
jgarridoo,651,9452,0,0,0,0,1359,1113,1.02,1.47,0.77,0.02,5.55,1,50-xx
leogomez9999,490,28764,0,0,0,0,739,4271,0.36,0.04,0.02,1.05,1.21,1,10-17
beltran_lola,213,1059,0,0,0,0,312,30,0.33,0.46,0.89,0.2,4.02,2,18-24
sorianomarina,598,989,1,0,0,0,478,89,1.02,0.45,0.35,0.12,2.71,2,18-24
lucasilva016,541,19277,0,1,1,0,1240,2545,0.04,0.0,0.01,0.23,1.02,1,10-17
diegolleo,32,308,0,0,0,0,259,25,0.58,0.27,0.29,0.09,2.55,1,25-34
lucianovillalv1,352,1725,0,0,0,0,230,1512,0.14,0.02,0.06,0.98,0.78,0,10-17
littlepearlblue,902,44463,0,0,0,0,1391,8647,0.22,0.03,0.22,0.39,12.98,0,10-17
mrtfernandez,1865,41044,0,0,0,0,129821,69689,1.12,0.07,0.17,0.03,2.41,2,35-49
pabloformoso,997,13612,1,0,0,0,1154,1197,0.87,0.21,0.3,0.48,2.78,1,25-34
morenobarber,406,1856,0,0,0,0,34391,110,0.49,0.18,0.52,0.05,4.72,1,50-xx
mmarcosgodoy97,155,1131,0,0,0,0,300,6211,0.23,0.33,0.05,0.27,2.39,0,18-24
naturalvoyager,3491,9730,0,0,0,0,3052,865,0.82,0.63,0.78,0.03,7.71,1,50-xx
thffernando,153,42367,0,0,0,0,12379,1069,1.74,0.02,0.24,0.03,6.44,1,35-49
energica,1210,7220,0,0,0,0,2486,2775,0.91,0.18,0.27,0.12,2.04,2,25-34
valentinaaa1297,332,17150,0,0,0,0,396,4087,0.07,0.0,0.07,0.48,2.21,0,18-24
neverlandlss,614,36173,0,1,1,0,772,12288,0.13,0.0,0.37,0.21,2.7,2,10-17
clauditah_nn,28,1170,0,0,1,0,58,2494,0.65,0.21,0.28,0.62,2.89,0,10-17
natiferreirac,936,15228,0,0,1,0,934,8850,0.14,0.16,0.14,0.29,2.94,0,18-24
oriigartland,589,6567,0,0,0,0,659,1386,0.16,0.01,0.03,0.66,1.21,0,10-17
lourdesverger,748,11937,0,0,0,0,1084,1616,0.57,0.56,0.41,0.27,3.13,2,25-34
titatorro,355,5910,0,0,0,0,10654,5687,1.13,0.1,0.02,0.93,1.15,0,18-24
miss_belmont,225,2890,0,0,0,0,332082,1352,0.88,0.65,0.1,1.2,2.52,0,18-24
javiersalinas00,1115,19971,0,0,0,0,846,43,0.29,0.2,0.44,0.02,2.82,1,25-34
rrebolledo,880,3622,0,0,0,0,908,2517,0.82,0.64,0.84,0.03,4.07,2,25-34
lucrerusa2,398,2692,0,0,0,0,602,3395,0.24,0.05,0.05,0.96,2.52,0,10-17
roburato1,649,4371,0,0,0,0,480,1157,0.11,0.16,0.0,1.1,1.7,2,18-24
dianamateos10,830,22982,0,0,0,1,965,3114,0.07,0.0,0.02,0.62,1.37,0,10-17
ojecua,402,1055,0,0,0,0,328,44,0.81,0.28,0.24,0.11,3.7,2,25-34
brunopintom,1626,24088,0,1,1,0,791,9904,0.42,0.08,0.05,0.46,2.12,0,18-24
natanahelcndf,2170,32335,0,0,0,0,2137,4792,0.04,0.0,0.11,0.28,1.24,0,18-24
roomiflores_,4718,37951,0,0,1,0,5020,15671,0.05,0.02,0.13,0.48,1.19,0,18-24
gomezdelpozuelo,12321,16454,1,0,0,0,93336,392,0.49,0.09,0.66,0.1,3.1,2,50-xx
tomii0410,554,42681,0,0,0,0,5337,13160,0.61,0.45,0.18,0.36,4.72,1,10-17
sandra_garciaf,254,118,0,0,0,0,136,18,0.64,0.18,0.72,0.16,5.92,2,35-49
alberto_blanco,897,10770,0,0,0,0,5371,5,1.03,0.5,0.63,0.2,3.45,1,35-49
carolina__01,972,38978,0,0,0,0,927,8005,0.21,0.0,0.1,0.43,0.97,2,10-17
vicky_larrosa1,647,10242,0,1,1,1,385,1712,0.09,0.0,0.05,1.5,1.5,2,18-24
agus_gonzalez26,1038,104260,0,1,0,0,2110,14608,0.37,0.0,0.27,0.17,1.51,2,18-24
jurimarok,483,5170,1,0,0,0,248,3693,1.23,0.56,0.24,1.05,3.68,1,10-17
sebatorok,494,14952,0,0,0,0,11465,4652,1.31,1.33,0.26,0.2,4.62,1,10-17
florburelli,216,1348,0,0,0,0,130,388,0.12,0.29,0.02,1.04,2.31,2,18-24
mranera,25394,11714,0,0,0,0,50524,421,1.38,1.11,0.66,0.05,5.37,2,50-xx
espinosa_albert,462,14010,0,0,0,0,204601,23385,0.77,0.11,0.14,0.7,1.88,1,35-49
juanma_nieves,643,6647,0,0,0,0,292,1208,1.2,0.04,0.42,0.02,1.99,0,25-34
jsanchezfranco,1195,4151,0,0,0,0,1529,773,0.43,1.45,0.3,0.06,3.02,1,35-49
claudiogarcia82,1898,27966,0,0,0,0,2320,779,0.07,2.59,0.97,0.04,4.66,1,25-34
jmgomezperez,1730,8466,0,0,0,0,1791,1,0.48,0.1,0.26,0.09,3.1,1,35-49
jgonzalez_es,957,1574,0,0,0,0,823,777,1.13,0.66,0.98,0.04,4.07,1,50-xx
rosamariaartal,2764,213082,0,0,0,0,90651,8539,0.9,0.04,0.49,0.1,3.91,0,50-xx
nadiaohaco,478,731,0,0,1,0,540,1729,0.36,0.19,0.18,0.77,2.86,2,10-17
fedeabatangelo,833,39770,0,1,1,1,1529,10812,0.43,0.0,0.07,0.08,1.08,0,18-24
robcarballo,2840,16012,0,0,0,0,2743,5,0.9,0.12,0.25,0.06,2.02,1,50-xx
sebasmuriel,7968,53151,0,0,0,0,17912,2,0.68,0.12,0.82,0.26,1.01,1,35-49
mariupaolini,578,1705,0,0,0,0,720,215,0.68,0.33,0.05,0.45,4.34,2,25-34
ivanpuente,177,9022,0,0,0,0,1014,1194,0.47,1.13,0.41,0.11,4.93,1,25-34
quiquemateuvlc,1989,5083,0,0,0,0,2140,104,0.67,0.43,0.64,0.03,3.73,1,35-49
sboxcoaching,1724,3325,0,0,0,0,1214,293,0.07,0.23,0.78,0.68,10.3,0,35-49
nico_lopez0,118,294,0,0,0,0,94,150,0.4,0.02,0.27,0.13,2.65,1,10-17
vanes3996,295,13463,0,0,0,1,358,480,0.09,0.11,0.01,0.1,1.74,0,18-24
juanmerodio,60,22693,0,0,0,0,101351,56,0.43,0.58,0.76,0.36,13.17,1,25-34
albeitar,1074,3141,0,0,0,1,631,304,0.7,0.14,0.65,0.11,3.34,0,50-xx
perezreverte,889,31011,0,0,0,0,1899594,0,1.18,0.0,0.2,0.01,3.16,1,50-xx
el_pakozoico,963,7101,0,0,0,0,3154,4891,1.59,0.39,0.23,0.27,3.33,1,25-34
yoleidycarvajal,960,8972,0,0,0,0,967,474,0.67,0.7,0.46,0.09,3.78,2,25-34
estefiperezok,2304,29967,0,0,0,1,2327,4352,0.2,0.0,0.05,0.74,1.29,0,10-17
ser_seo,1990,4158,0,0,0,0,2459,387,0.11,0.76,0.96,0.1,3.4,0,35-49
rossanaduarte1,2841,35482,0,0,0,0,4001,2719,1.37,0.77,0.04,2.16,5.69,0,10-17
anavidalegea,288,206,0,0,0,0,388,174,0.39,0.93,0.4,0.09,3.09,2,25-34
cutefilm,330,1346,0,0,0,0,309,610,0.52,0.75,0.4,0.17,2.35,0,25-34
angelmgtech,247,270,1,0,0,0,61,45,0.11,4.56,0.97,0.04,4.06,0,25-34
anablanco_tve,73,204,0,0,0,0,118668,1,0.23,0.6,0.11,0.06,5.13,2,50-xx
juancarcubeiro,3094,25310,0,0,0,0,13996,1947,1.31,1.14,0.77,0.06,5.37,1,50-xx
mmmendieta,502,13220,0,0,0,0,2975,9876,1.13,0.08,0.38,0.11,2.85,0,25-34
solemi245,219,14172,0,0,0,0,383,2713,0.16,0.01,0.11,1.03,1.41,1,10-17
maripuchi,1872,40393,0,0,0,0,7207,7736,0.97,0.36,0.2,0.46,2.5,2,35-49
lucasanhornok,294,10162,0,1,1,0,451,3587,0.2,0.03,0.17,1.44,2.28,1,10-17
pfcdgayo,742,7170,0,0,0,0,1305,10030,1.06,0.02,0.17,0.19,2.27,1,35-49
marta_dominguez,901,13521,0,0,0,0,1474,1797,0.36,0.31,0.63,0.16,3.37,2,35-49
fraancodaaniel1,1077,22451,0,1,0,1,744,1741,0.05,0.02,0.01,0.14,1.35,1,10-17
shora,706,6730,0,0,0,0,5245,8,0.74,0.03,0.26,0.22,2.35,2,25-34
valentinademarc,2435,59544,0,0,0,1,2162,23813,0.38,0.04,0.14,0.3,1.8,1,10-17
jesusferre,552,11948,0,0,0,0,1602,593,1.04,0.33,0.28,0.1,1.88,0,35-49
chapoypati,255,49388,0,0,0,0,922737,11039,0.22,0.05,0.63,0.15,1.65,0,50-xx
jordimirobruix,1754,75105,0,0,0,0,2857,1491,1.39,0.3,0.13,0.13,1.8,1,35-49
copano,22460,155158,0,1,0,0,811001,12516,0.34,0.13,0.5,0.05,6.55,0,25-34
diegoisabel1,1919,4959,0,0,0,0,10948,1122,1.16,0.14,0.53,0.12,3.75,1,35-49
victoriacarrat2,97,4833,0,0,0,0,210,1135,0.11,0.0,0.05,0.12,1.31,2,10-17
diaznap,430,1076,0,0,0,0,618,458,1.28,0.03,0.13,0.02,3.31,0,10-17
mili_campos_,527,3304,0,0,0,0,721,1296,0.15,0.03,0.07,1.79,1.43,2,18-24
juanmusumeci07,887,48429,0,0,1,0,1318,8554,0.24,0.01,0.03,0.1,3.34,1,10-17
nachogmoreira,2347,18233,0,0,0,0,1612,5896,0.59,0.06,0.06,0.41,2.78,0,18-24
celeste0234,2837,29223,0,0,0,1,2522,21423,0.24,0.03,0.07,1.94,1.46,2,18-24
biogeocarlos,3056,16870,0,0,0,0,4298,5341,1.79,0.28,0.27,0.83,2.97,0,35-49
publicisimpetu,299,1306,0,0,0,0,1269,1412,0.47,0.63,0.7,0.2,8.56,0,50-xx
rhmedia_es,124,2334,0,0,0,0,1330,72,0.89,0.25,0.74,0.11,3.05,0,35-49
victoriabioque,1561,7887,0,0,0,0,2477,1406,1.16,0.89,0.38,0.05,2.69,2,25-34
pablo_astudillo,174,2494,0,0,0,0,105,33,0.29,0.07,0.27,0.26,3.27,1,25-34
jalguerrero,534,10923,0,0,0,0,3915,0,2.86,0.0,0.94,0.02,6.23,1,50-xx
ncampos,1789,7606,0,0,0,0,1837,7,0.82,0.3,0.08,0.02,3.25,1,35-49
pepecuesta,4219,6450,0,0,0,0,4837,198,1.16,0.27,0.3,0.39,3.43,1,35-49
kenshin23,925,16993,0,0,0,0,816,211,0.38,0.14,0.13,0.05,3.25,1,25-34
acedotor,16825,110185,0,0,0,0,15950,13848,2.46,1.62,0.76,0.03,6.42,1,50-xx
mmendizabal1,852,7052,0,0,0,0,129904,288,0.53,0.23,0.58,0.14,2.35,2,35-49
aguuus28,588,4709,0,0,0,1,580,2655,0.06,0.01,0.04,0.56,1.57,1,18-24
heteronima,977,3237,0,0,0,0,432,1028,0.68,0.91,0.35,0.16,4.8,0,25-34
nagodelos,937,4929,0,0,0,0,5648,1345,1.43,0.77,0.51,0.28,3.12,2,35-49
lourdesmoralesg,324,253,0,0,0,0,171,5,0.68,1.09,0.76,0.09,7.0,0,50-xx
charoizquierdo,2299,24048,0,0,1,0,23111,3914,0.78,0.92,0.71,0.04,2.94,2,50-xx
zoyasanchez,378,3873,0,0,0,1,295,1468,0.06,0.03,0.07,0.4,1.4,0,10-17
maritriniginer,2984,41862,0,0,0,0,9280,19571,0.76,1.21,0.76,0.68,4.52,0,25-34
alvarogarciap90,720,6450,0,0,0,0,276,1037,0.79,0.07,0.07,0.07,3.26,0,18-24
silviacobo,2753,25023,0,0,0,0,13114,2391,0.63,0.24,0.61,0.2,2.67,2,35-49
laurabat55,590,6261,0,0,0,0,918,8863,1.32,0.05,0.25,0.22,4.03,2,50-xx
prodigy_man,2129,9443,0,0,0,0,572,20,0.06,0.23,0.84,0.02,6.08,1,35-49
inmonoel,501,2809,0,0,0,0,302,281,0.29,0.63,0.92,0.0,21.73,0,50-xx
lulypeteanc,708,20650,0,0,0,0,843,2427,0.4,0.13,0.04,1.12,2.71,2,18-24
anttomartina,71,558,0,0,0,0,26,242,0.07,0.0,0.52,1.02,1.97,0,18-24
josetrecet,2371,6548,0,0,0,0,3294,813,0.39,0.35,0.97,0.02,2.33,1,35-49
marcecosta1891,161,93092,0,0,0,0,1402,6729,0.09,0.01,0.18,0.01,3.5,1,18-24
emoragues,947,1456,0,0,0,0,571,17378,0.87,0.42,0.13,0.11,2.47,1,35-49
adela_micha,415,58907,0,0,0,0,4647584,68,0.02,0.0,0.98,0.07,1.45,0,50-xx
mrgomezponce,2894,11231,0,0,0,0,4179,9738,1.26,1.13,0.57,0.15,4.86,2,35-49
srouvier,736,10845,0,0,0,0,2301,2829,0.73,0.29,0.18,0.1,2.51,2,35-49
