ageNaiveBayes,ageRandomForest,ageSGD,ageSVM,id,realAge
18-24,18-24,18-24,18-24,karusilva1,10-17
18-24,18-24,18-24,18-24,nadiaohaco,10-17
18-24,18-24,18-24,18-24,camiib14,18-24
18-24,18-24,10-17,10-17,maarupicerno,10-17
18-24,18-24,18-24,18-24,coty_gastaldo,18-24
18-24,18-24,18-24,18-24,andresaf170198,18-24
25-34,25-34,25-34,25-34,cgezzio,18-24
35-49,35-49,25-34,25-34,castillofran20,18-24
35-49,25-34,25-34,25-34,galonsobenia,25-34
18-24,18-24,18-24,18-24,stagno_chiara,18-24
18-24,18-24,18-24,18-24,ivandjdv,10-17
18-24,18-24,18-24,18-24,julianrosa00,10-17
18-24,18-24,25-34,25-34,joseplut104,18-24
18-24,18-24,10-17,10-17,delfibruzzone,18-24
18-24,18-24,18-24,10-17,_sofi_41,10-17
18-24,18-24,18-24,18-24,neri_oriana,18-24
35-49,25-34,25-34,25-34,mauriciozarauz,18-24
25-34,35-49,25-34,25-34,felipepaullier,25-34
18-24,18-24,18-24,18-24,floorcei,18-24
18-24,18-24,18-24,18-24,el_patoherrera,18-24
18-24,18-24,18-24,18-24,barrsosa35,10-17
18-24,18-24,18-24,18-24,roldanrodrigo3,10-17
18-24,18-24,18-24,18-24,tamitoledovazq,18-24
18-24,18-24,18-24,25-34,mmusitani,25-34
18-24,18-24,18-24,18-24,jorvilares,18-24
18-24,18-24,18-24,18-24,bautiperezz1899,10-17
18-24,18-24,25-34,25-34,jennyabigail7,18-24
18-24,18-24,10-17,10-17,joaking_ok,10-17
18-24,18-24,18-24,18-24,rooborges16,18-24
18-24,18-24,18-24,18-24,alvarezfiorelaa,18-24
35-49,18-24,35-49,35-49,jes_lubrano,25-34
25-34,18-24,18-24,18-24,yorugua16,18-24
18-24,18-24,18-24,25-34,ezetesta13,18-24
18-24,18-24,18-24,18-24,jeither01,18-24
18-24,18-24,18-24,18-24,josefinamonsa,18-24
18-24,18-24,18-24,18-24,abruuledesma,10-17
18-24,18-24,18-24,18-24,camilalucchetti,18-24
18-24,18-24,18-24,18-24,maluquinteirook,18-24
18-24,18-24,18-24,18-24,rofeldik,18-24
18-24,18-24,18-24,18-24,fedecaetano_1,18-24
18-24,18-24,18-24,35-49,alexisgabriel_s,18-24
18-24,18-24,10-17,18-24,juan_bagnasco,10-17
18-24,18-24,18-24,18-24,ariel_voyager,18-24
18-24,18-24,10-17,10-17,yoiikamlofsky,18-24
25-34,25-34,25-34,25-34,sanguinettij,18-24
18-24,18-24,18-24,18-24,capdevila2000,10-17
18-24,18-24,18-24,18-24,diegong7,18-24
18-24,18-24,10-17,10-17,_garii__,10-17
18-24,18-24,18-24,18-24,claulpez19,18-24
18-24,18-24,10-17,18-24,florvmipride,18-24
18-24,18-24,25-34,18-24,ffjorgeramirez,35-49
18-24,18-24,18-24,18-24,amapolaa21,18-24
18-24,18-24,18-24,18-24,kmy332,18-24
18-24,18-24,18-24,18-24,juanigarayzar,18-24
18-24,18-24,18-24,18-24,matu_fbv,18-24
18-24,18-24,18-24,18-24,sararebecca23,25-34
18-24,18-24,18-24,18-24,gerklps,18-24
18-24,18-24,18-24,18-24,guidobeeeeok,18-24
35-49,18-24,25-34,25-34,jignaciotorresn,25-34
18-24,18-24,18-24,18-24,jennifer_okk,18-24
35-49,25-34,35-49,35-49,marisolartigas,10-17
18-24,18-24,18-24,18-24,gastialmeyra,18-24
18-24,18-24,10-17,10-17,micadeleonc,18-24
18-24,18-24,18-24,18-24,ezeedominguezz,18-24
18-24,18-24,10-17,10-17,meli3620,10-17
18-24,18-24,10-17,10-17,reosiempre,18-24
18-24,18-24,18-24,18-24,susana_scala,18-24
18-24,18-24,18-24,18-24,abbriguzman,10-17
10-17,18-24,18-24,18-24,anfavalok,18-24
18-24,18-24,10-17,18-24,chiquirodrguez,18-24
18-24,18-24,18-24,18-24,dannyailen,18-24
18-24,18-24,18-24,18-24,ezeborstelmann,18-24
18-24,18-24,18-24,18-24,melisosa13,18-24
18-24,18-24,18-24,18-24,gabrielkoszko,18-24
18-24,18-24,18-24,18-24,veroschinoni,18-24
18-24,18-24,35-49,35-49,emanuelpelua7,10-17
18-24,18-24,18-24,18-24,rocciocabano,18-24
18-24,18-24,18-24,25-34,fabiomartinez1,35-49
18-24,18-24,10-17,10-17,melukawaii123,10-17
18-24,18-24,18-24,18-24,nahuel_acosta97,18-24
18-24,18-24,18-24,18-24,leandros96,18-24
18-24,18-24,10-17,10-17,gastton6,18-24
18-24,18-24,18-24,18-24,ailenskerlj,18-24
18-24,18-24,18-24,18-24,santiimotta,18-24
18-24,25-34,25-34,25-34,ezefretes,10-17
18-24,18-24,18-24,18-24,barbyylujan,10-17
18-24,18-24,18-24,18-24,orne_martini,10-17
18-24,18-24,18-24,18-24,vicky18blanco,18-24
