screen_name,friends_count,tweets_count,linkedin,snapchat,instagram,facebook,followers_count,favourites_count,qtyMentions,qtyHashtags,qtyUrls,qtyEmojis,qtyUppercase,profile_pic_gender,age
a_valenzuela,4188,47954,0,0,0,0,59272,33414,1.31,0.26,0.38,0.97,2.33,2,35-49
srouvier,736,10845,0,0,0,0,2301,2829,0.73,0.29,0.18,0.1,2.51,2,35-49
antoniorull,1393,37782,0,0,0,0,3884,2769,0.85,0.1,0.3,0.28,2.35,1,25-34
abarceloh25,376,6319,0,0,0,0,410797,88,1.14,0.01,0.21,0.01,2.42,2,50-xx
juanma_nieves,643,6647,0,0,0,0,292,1208,1.2,0.04,0.42,0.02,1.99,0,25-34
alberto_blanco,897,10770,0,0,0,0,5371,5,1.03,0.5,0.63,0.2,3.45,1,35-49
alexandraaberr,338,155,0,0,0,0,158,51,0.58,0.53,0.34,0.06,3.36,2,18-24
ser_seo,1990,4158,0,0,0,0,2459,387,0.11,0.76,0.96,0.1,3.4,0,35-49
gomezdelpozuelo,12321,16454,0,0,0,0,93336,392,0.49,0.09,0.66,0.1,3.1,2,50-xx
angelmgtech,247,270,0,0,0,0,61,45,0.11,4.56,0.97,0.04,4.06,0,25-34
marta_dominguez,901,13521,0,0,0,0,1474,1797,0.36,0.31,0.63,0.16,3.37,2,35-49
maripuchi,1872,40393,0,0,0,0,7207,7736,0.97,0.36,0.2,0.46,2.5,2,35-49
jsanchezfranco,1195,4151,0,0,0,0,1529,773,0.43,1.45,0.3,0.06,3.02,1,35-49
adela_micha,415,58907,0,0,0,0,4647584,68,0.02,0.0,0.98,0.07,1.45,0,50-xx
sboxcoaching,1724,3325,0,0,0,0,1214,293,0.07,0.23,0.78,0.68,10.3,0,35-49
naruedyoh,2317,507239,0,0,0,0,173145,689,0.92,0.04,0.15,0.03,3.91,1,18-24
anablanco_tve,73,204,0,0,0,0,118668,1,0.23,0.6,0.11,0.06,5.13,2,50-xx
rhmedia_es,124,2334,0,0,0,0,1330,72,0.89,0.25,0.74,0.11,3.05,0,35-49
juantorreslopez,1760,10072,0,0,0,0,53485,1329,0.91,0.02,0.46,0.03,2.6,0,50-xx
garciaaller,2443,13488,0,0,0,0,13344,9419,1.29,0.2,0.42,0.06,2.88,2,25-34
maritriniginer,2984,41862,0,0,0,0,9280,19571,0.76,1.21,0.76,0.68,4.52,0,25-34
mabelbullon,123,502,0,0,0,0,121,7,0.61,0.28,0.94,0.1,7.42,2,35-49
jmgomezperez,1730,8466,0,0,0,0,1791,1,0.48,0.1,0.26,0.09,3.1,1,35-49
luistomala,1609,735325,0,0,0,0,1886,773,0.14,0.08,1.03,0.03,2.86,1,25-34
chgarciacortes,1241,5565,0,0,0,0,126882,88,0.78,0.13,0.19,1.2,2.4,0,50-xx
javierbri,694,9217,0,0,0,0,725,1152,1.2,0.97,0.9,0.22,2.47,1,35-49
sorianomarina,598,989,0,0,0,0,478,89,1.02,0.45,0.35,0.12,2.71,2,18-24
ojecua,402,1055,0,0,0,0,328,44,0.81,0.28,0.24,0.11,3.7,2,25-34
jesusferre,552,11948,0,0,0,0,1602,593,1.04,0.33,0.28,0.1,1.88,0,35-49
shora,706,6730,0,0,0,0,5245,8,0.74,0.03,0.26,0.22,2.35,2,25-34
helenaancos,2411,16822,0,0,0,0,5173,7173,0.73,0.64,0.89,0.03,3.63,2,35-49
claudiogarcia82,1898,27966,0,0,0,0,2320,779,0.07,2.59,0.97,0.04,4.66,1,25-34
maitefinch,4583,29983,0,0,0,0,4891,5914,0.7,0.83,0.65,0.37,1.46,2,35-49
rafadiaz1,918,17459,0,0,0,0,4368,6435,1.04,1.0,0.64,0.22,3.37,0,25-34
marielabejar,994,36672,0,0,0,0,8831,823,0.43,0.49,0.52,0.22,3.51,2,35-49
carlosecue,1129,18546,0,0,0,0,114343,92,0.55,0.01,0.38,0.06,3.37,1,35-49
oscargcervella,821,7160,0,0,0,0,421,612,0.09,1.21,0.92,0.04,4.45,1,35-49
nagodelos,937,4929,0,0,0,0,5648,1345,1.43,0.77,0.51,0.28,3.12,2,35-49
segundaopor,119,299,0,0,0,0,66,44,0.18,0.54,0.81,0.01,2.09,0,25-34
emiliodebenito,366,11874,0,0,0,0,7004,1852,1.54,0.2,0.64,0.06,2.22,1,35-49
emoragues,947,1456,0,0,0,0,571,17378,0.87,0.42,0.13,0.11,2.47,1,35-49
espinosa_albert,462,14010,0,0,0,0,204601,23385,0.77,0.11,0.14,0.7,1.88,1,35-49
ginesalarcon,392,5850,0,0,0,0,935,1406,0.61,0.1,0.52,0.04,2.9,1,35-49
mmmendieta,502,13220,0,0,0,0,2975,9876,1.13,0.08,0.38,0.11,2.85,0,25-34
perezreverte,889,31011,0,0,0,0,1899594,0,1.18,0.0,0.2,0.01,3.16,1,50-xx
felixbernet,1116,25918,0,0,0,0,1315,416,1.03,0.72,0.87,0.02,2.06,0,35-49
moveiter,884,2495,0,0,0,0,964,95,0.69,0.37,0.94,0.02,3.61,0,35-49
cesardalmau,151,2946,0,0,0,0,1179,67,1.26,1.36,0.07,0.11,3.89,1,35-49
mateodomenech,32,169,0,0,0,0,43,1,0.26,0.34,0.66,0.02,6.75,1,50-xx
prodigy_man,2129,9443,0,0,0,0,572,20,0.06,0.23,0.84,0.02,6.08,1,35-49
fjaureguic,6535,16579,0,0,0,0,24789,39,1.11,0.01,0.37,0.03,3.24,0,50-xx
vanis,1377,40591,0,0,0,0,52718,4077,1.03,0.27,0.28,0.19,3.01,1,35-49
diegoisabel1,1919,4959,0,0,0,0,10948,1122,1.16,0.14,0.53,0.12,3.75,1,35-49
mikomonik,247,5088,0,0,0,0,272,17,0.41,0.99,0.41,0.25,4.29,2,18-24
mariupaolini,578,1705,0,0,0,0,720,215,0.68,0.33,0.05,0.45,4.34,2,25-34
josetrecet,2371,6548,0,0,0,0,3294,813,0.39,0.35,0.97,0.02,2.33,1,35-49
silviacobo,2753,25023,0,0,0,0,13114,2391,0.63,0.24,0.61,0.2,2.67,2,35-49
thffernando,153,42367,0,0,0,0,12379,1069,1.74,0.02,0.24,0.03,6.44,1,35-49
pfcdgayo,742,7170,0,0,0,0,1305,10030,1.06,0.02,0.17,0.19,2.27,1,35-49
titatorro,355,5910,0,0,0,0,10654,5687,1.13,0.1,0.02,0.93,1.15,0,18-24
helenaresano,668,27794,0,0,0,0,84843,3238,0.3,0.07,0.2,0.1,3.84,2,35-49
hectormilla,737,16814,0,0,0,0,3991,1682,0.38,0.21,0.81,0.06,3.07,1,50-xx
jgarridoo,651,9452,0,0,0,0,1359,1113,1.02,1.47,0.77,0.02,5.55,1,50-xx
biogeocarlos,3056,16870,0,0,0,0,4298,5341,1.79,0.28,0.27,0.83,2.97,0,35-49
sandra_garciaf,254,118,0,0,0,0,136,18,0.64,0.18,0.72,0.16,5.92,2,35-49
pep_jimenez,2056,11151,0,0,0,0,1876,456,0.61,0.28,0.76,0.03,3.68,1,35-49
joancmarch,26686,70321,0,0,0,0,27141,20633,2.36,1.2,0.51,0.07,5.57,0,50-xx
heteronima,977,3237,0,0,0,0,432,1028,0.68,0.91,0.35,0.16,4.8,0,25-34
etnika,671,6291,0,0,0,0,987,742,0.47,0.47,0.22,0.42,2.12,2,25-34
sebasmuriel,7968,53151,0,0,0,0,17912,2,0.68,0.12,0.82,0.26,1.01,1,35-49
lopezdoriga,1341,195412,0,0,0,0,7858480,746,0.29,0.27,0.87,0.05,4.79,1,50-xx
diegocobelo,178,340,0,0,0,0,320,11,0.89,0.61,0.17,0.24,2.3,1,25-34
globalbrand_,2498,7020,0,0,0,0,2252,172,0.26,0.03,0.92,0.03,2.15,0,35-49
pabloformoso,997,13612,0,0,0,0,1154,1197,0.87,0.21,0.3,0.48,2.78,1,25-34
ivanpuente,177,9022,0,0,0,0,1014,1194,0.47,1.13,0.41,0.11,4.93,1,25-34
quiquemateuvlc,1989,5083,0,0,0,0,2140,104,0.67,0.43,0.64,0.03,3.73,1,35-49
julietabolullo,2076,19147,0,0,0,0,2751,4257,0.8,0.57,0.35,1.16,2.17,0,25-34
mrgomezponce,2894,11231,0,0,0,0,4179,9738,1.26,1.13,0.57,0.15,4.86,2,35-49
jesusencinar,402,10066,0,0,0,0,93419,1087,0.2,0.09,0.35,0.05,3.61,1,35-49
jordimirobruix,1754,75105,0,0,0,0,2857,1491,1.39,0.3,0.13,0.13,1.8,1,35-49
robcarballo,2840,16012,0,0,0,0,2743,5,0.9,0.12,0.25,0.06,2.02,1,50-xx
pepecuesta,4219,6450,0,0,0,0,4837,198,1.16,0.27,0.3,0.39,3.43,1,35-49
carmechaparro,3322,28439,0,0,0,0,123326,6524,0.92,0.12,0.27,0.42,3.23,0,35-49
juancmselma,536,8771,0,0,0,0,709,250,0.42,1.75,0.77,0.23,2.21,1,35-49
juliagomezcora,297,2256,0,0,0,0,2482,1541,0.71,0.11,0.21,0.1,2.65,2,35-49
morenobarber,406,1856,0,0,0,0,34391,110,0.49,0.18,0.52,0.05,4.72,1,50-xx
yoleidycarvajal,960,8972,0,0,0,0,967,474,0.67,0.7,0.46,0.09,3.78,2,25-34
monicamoro,1578,50391,0,0,0,0,9995,2353,0.39,0.66,0.78,0.13,2.5,2,35-49
mranera,25394,11714,0,0,0,0,50524,421,1.38,1.11,0.66,0.05,5.37,2,50-xx
soozmoody,174,2333,0,0,0,0,1358,59,1.0,0.26,0.21,0.07,2.62,2,35-49
juanant_galindo,4755,12856,0,0,0,0,8990,370,0.73,0.27,0.73,0.08,3.58,1,35-49
evacolladoduran,17616,93154,0,0,0,0,73828,12403,1.96,1.34,0.71,0.24,6.56,2,35-49
copano,22460,155158,0,0,0,0,811001,12516,0.34,0.13,0.5,0.05,6.55,0,25-34
jalguerrero,534,10923,0,0,0,0,3915,0,2.86,0.0,0.94,0.02,6.23,1,50-xx
nuriarocagranel,230,29555,0,0,0,0,229492,35,0.69,0.31,0.56,2.16,13.07,2,35-49
alfonsomarco,787,5403,0,0,0,0,1201,20,0.01,0.0,0.67,0.03,5.21,1,50-xx
david_carnicer,443,2145,0,0,0,0,666,71,0.12,0.0,1.07,0.21,4.44,0,35-49
elenhitaes,630,4217,0,0,0,0,1793,299,0.94,0.56,0.58,0.06,3.0,2,35-49
lutxana,1036,20530,0,0,0,0,1280,12702,1.05,1.14,0.82,0.11,2.5,2,25-34
carmen_rrhh,2555,2483,0,0,0,0,2861,746,0.72,1.73,0.74,0.06,2.94,2,25-34
pilarroch,1524,2994,0,0,0,0,2358,474,1.4,0.34,0.45,0.06,3.46,2,35-49
globaltattooma,13,5325,0,0,0,0,230,0,0.0,0.02,1.09,0.03,7.97,2,35-49
ovibarcelo,659,5671,0,0,0,0,1865,3553,1.32,0.56,0.56,0.25,4.3,1,35-49
acedotor,16825,110185,0,0,0,0,15950,13848,2.46,1.62,0.76,0.03,6.42,1,50-xx
kicorangel,939,4823,0,0,0,0,1336,562,0.57,0.23,0.41,0.25,3.14,1,35-49
cesarpiqueras,226,18136,0,0,0,0,13207,7096,0.18,0.89,0.47,0.35,3.29,1,35-49
jgonzalez_es,957,1574,0,0,0,0,823,777,1.13,0.66,0.98,0.04,4.07,1,50-xx
rosamariaartal,2764,213082,0,0,0,0,90651,8539,0.9,0.04,0.49,0.1,3.91,0,50-xx
ebdtraining,141,824,0,0,0,0,160,1,0.17,0.29,0.25,0.02,4.16,1,25-34
ramirofortea,99,954,0,0,0,0,110,27,0.3,0.33,0.69,0.06,4.99,1,35-49
galachitaa,675,2708,0,0,0,0,864,130,0.8,0.54,0.44,0.71,4.6,2,25-34
petezin,6417,46977,0,0,0,0,42553,8431,1.2,0.56,0.53,0.18,3.58,2,25-34
worldreaders,13479,9790,0,0,0,0,16853,7374,1.15,0.27,0.64,0.09,2.91,0,35-49
susannagriso,568,20994,0,0,0,0,589175,1721,0.31,0.25,0.85,0.06,3.38,2,35-49
elenavama,85,1050,0,0,0,0,72,148,0.25,1.02,0.61,0.4,4.02,0,18-24
clementealvarez,1181,3686,0,0,0,0,11554,707,0.31,0.13,0.74,0.04,2.83,1,35-49
luvsayal,50,1158,0,0,0,0,631,2126,0.75,0.09,0.03,0.36,3.27,0,35-49
albertoartero,74,17423,0,0,0,0,11001,3,0.83,0.04,0.46,0.04,3.21,1,35-49
joanplanas,3183,25859,0,0,0,0,4343,833,0.83,0.06,0.38,0.2,2.39,1,25-34
victoriabioque,1561,7887,0,0,0,0,2477,1406,1.16,0.89,0.38,0.05,2.69,2,25-34
milaximenez,266,13582,0,0,0,0,395579,85,0.67,0.01,0.03,2.1,2.5,2,50-xx
webempresa20,5843,26225,0,0,0,0,20595,1477,0.12,0.01,0.95,0.05,2.23,2,50-xx
hector_cabrera_,216,647,0,0,0,0,242,85,0.83,0.52,0.57,0.04,5.52,1,35-49
anamariallopis,3911,15389,0,0,0,0,17455,1291,0.89,0.67,0.2,0.04,4.12,2,50-xx
jesusgallent,1633,186597,0,0,0,0,10715,794,1.45,0.08,0.12,0.51,1.79,1,25-34
fernand0,3103,64819,0,0,0,0,6011,2035,0.36,0.01,0.48,0.1,2.15,1,35-49
nataliagomez_es,10984,5537,0,0,0,0,25736,34,0.57,0.5,0.82,0.09,2.69,2,35-49
virgula,402,4191,0,0,0,0,1246,4,0.81,0.12,0.05,0.29,2.54,2,35-49
lourdesmunoz,10826,21288,0,0,0,0,11318,6029,0.92,1.29,0.78,0.08,3.3,2,35-49
leonardpera,1008,12672,0,0,0,0,1158,380,0.61,0.26,0.31,0.06,2.57,1,35-49
kenshin23,925,16993,0,0,0,0,816,211,0.38,0.14,0.13,0.05,3.25,1,25-34
pilarajev,96,1776,0,0,0,0,435,430,1.94,0.33,0.13,0.05,3.59,2,35-49
corallarrosa,772,10229,0,0,0,0,2269,1471,0.71,0.66,0.57,0.07,3.04,2,35-49
ytzvan,653,67287,0,0,0,0,2002,1745,0.78,0.09,0.19,0.36,2.53,1,18-24
energica,1210,7220,0,0,0,0,2486,2775,0.91,0.18,0.27,0.12,2.04,2,25-34
juanmerodio,60,22693,0,0,0,0,101351,56,0.43,0.58,0.76,0.36,13.17,1,25-34
almarro1,243,117,0,0,0,0,53,16,0.27,0.32,0.1,0.05,1.53,1,35-49
granero,162,7363,0,0,0,0,233,634,0.29,0.16,0.35,0.1,3.05,0,35-49
mgdelpozuelo,13658,3311,0,0,0,0,32285,2446,1.12,0.53,0.67,0.02,2.87,2,35-49
catyforteza,921,686,0,0,0,0,137,190,1.09,0.19,0.16,0.22,1.44,2,25-34
miss_belmont,225,2890,0,0,0,0,332082,1352,0.88,0.65,0.1,1.2,2.52,0,18-24
aliciapomares,6789,30752,0,0,0,0,25060,14819,1.55,0.6,0.61,0.57,2.83,2,35-49
chapoypati,255,49388,0,0,0,0,922737,11039,0.22,0.05,0.63,0.15,1.65,0,50-xx
acoronadoc,215,12554,0,0,0,0,778,457,0.22,0.47,0.5,0.17,4.31,1,35-49
andreurobuste,379,4877,0,0,0,0,363,773,3.41,0.35,0.21,0.13,1.86,0,25-34
carlosbecler,33,79,0,0,0,0,49,9,0.91,0.37,0.06,0.02,4.44,0,18-24
anavidalegea,288,206,0,0,0,0,388,174,0.39,0.93,0.4,0.09,3.09,2,25-34
msconcu,1366,34687,0,0,0,0,3207,5277,0.79,0.49,0.42,0.5,2.71,2,35-49
gabiplanas_rrhh,2523,1950,0,0,0,0,1641,1609,0.96,1.64,0.46,0.08,4.2,2,35-49
billiesastre,1998,22622,0,0,0,0,8019,802,0.92,0.35,0.47,0.47,2.34,2,35-49
arangocoaching,2638,13895,0,0,0,0,5364,670,0.86,0.4,0.49,0.08,2.0,2,35-49
pcvillarcayo,345,4902,0,0,0,0,614,1813,1.29,1.28,0.39,0.18,4.6,1,35-49
diegolleo,32,308,0,0,0,0,259,25,0.58,0.27,0.29,0.09,2.55,1,25-34
cris_villanueva,433,3473,0,0,0,0,27306,409,0.89,0.16,0.22,0.13,3.29,2,35-49
belenboville,477,584,0,0,0,0,593,41,0.76,0.1,0.5,0.02,4.79,2,50-xx
javiersalinas00,1115,19971,0,0,0,0,846,43,0.29,0.2,0.44,0.02,2.82,1,25-34
carlosguadian,2143,32353,0,0,0,0,9978,190,2.16,1.86,0.95,0.12,3.72,1,35-49
tereamor,1605,45723,0,0,0,0,2246,1652,0.89,0.21,0.41,0.28,2.43,2,35-49
eblanperis,3881,14197,0,0,0,0,8712,4027,1.02,1.38,0.77,0.41,4.25,2,25-34
lourdesverger,748,11937,0,0,0,0,1084,1616,0.57,0.56,0.41,0.27,3.13,2,25-34
factoriagris,593,21352,0,0,0,0,1325,6,0.11,1.59,1.04,0.05,5.75,0,35-49
respetocanas,655,16401,0,0,0,0,7727,4225,0.76,0.24,0.1,0.15,9.27,0,25-34
charoizquierdo,2299,24048,0,0,0,0,23111,3914,0.78,0.92,0.71,0.04,2.94,2,50-xx
perejoanmitjans,448,4639,0,0,0,0,480,1039,0.78,0.19,0.48,0.05,3.26,1,50-xx
carolinagavilan,544,2018,0,0,0,0,642,1141,0.82,0.2,0.71,0.16,3.18,2,35-49
_anamilan_,671,63084,0,0,0,0,366573,12912,1.37,0.09,0.11,0.61,2.73,2,35-49
wellcomm,6480,13938,0,0,0,0,8706,1084,0.74,0.74,0.78,0.04,2.79,0,50-xx
rodriguezbraun,110,64480,0,0,0,0,95214,18720,2.02,0.36,0.35,0.16,3.24,1,50-xx
gomezrufo,538,2702,0,0,0,0,1360,773,0.78,0.14,0.28,0.01,7.36,0,50-xx
albeitar,1074,3141,0,0,0,0,631,304,0.7,0.14,0.65,0.11,3.34,0,50-xx
manuelgimnez,131,600,0,0,0,0,528,442,0.46,0.78,0.81,0.06,4.02,1,35-49
elissambura,99,1654,0,0,0,0,200,17,0.02,0.85,0.95,0.09,5.33,0,35-49
el_pakozoico,963,7101,0,0,0,0,3154,4891,1.59,0.39,0.23,0.27,3.33,1,25-34
luisdiazdeldedo,347,606,0,0,0,0,53131,12070,1.36,0.27,0.13,0.47,3.44,1,25-34
mlaudisio,1576,5532,0,0,0,0,930,984,0.25,0.95,0.54,0.05,3.75,0,25-34
luisgosalbez,335,6124,0,0,0,0,2041,896,0.96,0.24,0.16,0.43,3.19,1,35-49
acliment,196,708,0,0,0,0,353,57,0.26,0.03,0.14,0.1,3.1,1,35-49
esperanzaguirre,3653,5557,0,0,0,0,565178,2882,0.44,0.12,0.17,0.07,3.13,2,50-xx
e_valero,1224,4542,0,0,0,0,1370,2830,1.35,0.51,0.25,0.36,2.62,2,35-49
cutefilm,330,1346,0,0,0,0,309,610,0.52,0.75,0.4,0.17,2.35,0,25-34
flowergirona,110,421,0,0,0,0,397,256,0.57,0.78,0.81,0.05,3.17,0,25-34
carmengelices,604,1346,0,0,0,0,327,134,0.52,0.3,0.47,0.12,3.84,2,35-49
pablo_astudillo,174,2494,0,0,0,0,105,33,0.29,0.07,0.27,0.26,3.27,1,25-34
crisalonsofran,2120,24051,0,0,0,0,2160,2377,0.82,0.26,0.54,0.31,2.98,2,35-49
pedrobiurrun,468,11515,0,0,0,0,3766,145,0.58,0.05,0.77,0.03,3.5,1,50-xx
alesonline,76,4879,0,0,0,0,327,1089,0.92,0.29,0.54,0.15,3.05,1,25-34
juanlusanchez,2415,56002,0,0,0,0,83894,12021,0.74,0.09,0.55,0.18,2.94,1,25-34
lourdesmoralesg,324,253,0,0,0,0,171,5,0.68,1.09,0.76,0.09,7.0,0,50-xx
miguel_a_alonso,170,3351,0,0,0,0,216,1503,0.36,0.03,0.72,0.06,3.84,1,35-49
ejoana,29988,12671,0,0,0,0,55480,3865,1.12,0.94,0.55,0.11,4.61,2,50-xx
monicadeza,2734,4447,0,0,0,0,4414,709,1.29,0.49,0.37,0.08,3.8,2,35-49
juancbarcelo,8979,43605,0,0,0,0,15307,672,0.68,1.42,0.93,0.07,5.36,1,35-49
adelaidauma,278,253,0,0,0,0,2420,2,0.54,0.05,0.6,0.02,3.97,2,50-xx
vdgracia,38,4771,0,0,0,0,209,20,0.53,0.15,0.91,0.03,3.62,0,50-xx
teresa_perales,733,2763,0,0,0,0,34013,6668,1.13,0.37,0.28,0.96,4.6,2,35-49
hacheromero,2640,54004,0,0,0,0,3219,15170,0.95,0.07,0.52,0.14,2.49,1,35-49
juanjomorodo,193,4558,0,0,0,0,1976,39,0.27,2.0,0.13,0.04,5.62,1,50-xx
luismiguelcas,1419,8914,0,0,0,0,806,422,1.04,0.47,0.43,0.03,3.7,1,35-49
jogartra,606,2298,0,0,0,0,390,23,0.33,0.23,0.35,0.13,3.61,1,35-49
ingeosolum,598,4520,0,0,0,0,1985,74,0.58,0.65,0.93,0.31,6.36,0,35-49
amigerpe,159,5623,0,0,0,0,456,483,0.82,0.79,0.57,0.16,3.52,2,25-34
tinofernandez,589,3873,0,0,0,0,4831,59,1.46,0.08,0.81,0.03,1.99,1,35-49
bibiladi,68,198,0,0,0,0,198,227,0.82,0.34,0.09,0.08,2.33,2,35-49
iescolar,5083,64679,0,0,0,0,786281,2391,0.21,0.01,0.96,0.04,5.65,1,35-49
carmenalcayde,445,17546,0,0,0,0,319503,1717,0.33,0.4,0.77,1.65,2.42,2,35-49
elviralindo,226,1887,0,0,0,0,235937,523,0.6,0.18,0.58,0.04,3.34,2,50-xx
martarodrigueza,7815,27326,0,0,0,0,9393,12349,1.23,0.1,0.73,0.17,3.25,2,35-49
eapesteguia,1566,36303,0,0,0,0,14685,4218,0.79,0.62,0.67,1.21,4.29,1,25-34
luislopezcuenca,461,4904,0,0,0,0,1432,1142,1.3,0.75,0.43,0.43,3.41,1,25-34
brunopintom,1626,24088,0,0,0,0,791,9904,0.42,0.08,0.05,0.46,2.12,0,18-24
roomiflores_,4718,37951,0,0,0,0,5020,15671,0.05,0.02,0.13,0.48,1.19,0,18-24
juanmusumeci07,887,48429,0,0,0,0,1318,8554,0.24,0.01,0.03,0.1,3.34,1,10-17
tamaracolmaan,954,61226,0,0,0,0,1136,4228,0.24,0.0,0.09,0.18,3.18,0,18-24
roburato1,649,4371,0,0,0,0,480,1157,0.11,0.16,0.0,1.1,1.7,2,18-24
mlpassio,75,2474,0,0,0,0,30,469,0.3,0.0,0.38,0.01,11.67,1,35-49
vanemtl,653,39641,0,0,0,0,1477,13671,0.33,0.08,0.16,0.59,2.53,0,18-24
ampii_sola,871,45925,0,0,0,0,2466,12552,0.25,0.01,0.05,1.13,1.85,0,10-17
andradaceleste,694,40388,0,0,0,0,801,5039,0.32,0.0,0.05,1.25,5.89,2,18-24
anttomartina,71,558,0,0,0,0,26,242,0.07,0.0,0.52,1.02,1.97,0,18-24
dianamateos10,830,22982,0,0,0,0,965,3114,0.07,0.0,0.02,0.62,1.37,0,10-17
nachogmoreira,2347,18233,0,0,0,0,1612,5896,0.59,0.06,0.06,0.41,2.78,0,18-24
julidorado15,843,22032,0,0,0,0,981,2919,0.04,0.12,0.01,1.08,1.57,0,10-17
florburelli,216,1348,0,0,0,0,130,388,0.12,0.29,0.02,1.04,2.31,2,18-24
lucrerusa2,398,2692,0,0,0,0,602,3395,0.24,0.05,0.05,0.96,2.52,0,10-17
daaaibravo5,1338,22952,0,0,0,0,1292,2128,0.23,0.03,0.09,1.2,2.72,0,18-24
giulianodanok,3784,13007,0,0,0,0,4397,4914,0.11,0.0,0.27,0.28,1.81,1,18-24
roohernande,2216,26783,0,0,0,0,1848,23338,0.1,0.01,0.04,1.18,1.42,1,18-24
inmonoel,501,2809,0,0,0,0,302,281,0.29,0.63,0.92,0.0,21.73,0,50-xx
juliett1215,1117,29155,0,0,0,0,1116,8804,0.23,0.0,0.05,0.47,1.59,0,18-24
natiferreirac,936,15228,0,0,0,0,934,8850,0.14,0.16,0.14,0.29,2.94,0,18-24
_brisa17abigail,491,7085,0,0,0,0,403,12053,0.14,0.02,0.09,0.49,1.71,0,10-17
luusimonini,202,1399,0,0,0,0,222,376,0.12,0.0,0.01,1.65,1.56,1,18-24
sofi_devega,545,32807,0,0,0,0,1016,12983,0.41,0.03,0.17,1.19,1.98,0,18-24
zoyasanchez,378,3873,0,0,0,0,295,1468,0.06,0.03,0.07,0.4,1.4,0,10-17
agustinavilch17,954,1421,0,0,0,0,551,335,0.06,0.01,0.0,2.09,1.2,2,18-24
ro_castiglioni,591,1095,0,0,0,0,120,935,1.13,2.51,0.04,0.95,13.21,2,10-17
celeste0234,2837,29223,0,0,0,0,2522,21423,0.24,0.03,0.07,1.94,1.46,2,18-24
mili_campos_,527,3304,0,0,0,0,721,1296,0.15,0.03,0.07,1.79,1.43,2,18-24
agus_gonzalez26,1038,104260,0,0,0,0,2110,14608,0.37,0.0,0.27,0.17,1.51,2,18-24
vicky_larrosa1,647,10242,0,0,0,0,385,1712,0.09,0.0,0.05,1.5,1.5,2,18-24
carolina__01,972,38978,0,0,0,0,927,8005,0.21,0.0,0.1,0.43,0.97,2,10-17
nikysemeria,414,23325,0,0,0,0,580,8524,0.07,0.0,0.23,0.38,2.04,2,18-24
roominalucia,217,19471,0,0,0,0,412,1597,0.08,0.0,0.1,0.47,2.13,0,10-17
faculiencres,662,25582,0,0,0,0,768,10539,0.38,0.01,0.14,0.05,1.61,1,18-24
lucasilva016,541,19277,0,0,0,0,1240,2545,0.04,0.0,0.01,0.23,1.02,1,10-17
vanes3996,295,13463,0,0,0,0,358,480,0.09,0.11,0.01,0.1,1.74,0,18-24
rubiaaaenana,3603,26963,0,0,0,0,3411,6438,0.05,0.01,0.04,0.88,1.41,0,10-17
natanahelcndf,2170,32335,0,0,0,0,2137,4792,0.04,0.0,0.11,0.28,1.24,0,18-24
12arielsosa,186,6510,0,0,0,0,1681,3857,0.51,0.16,0.21,0.21,5.3,1,25-34
