screen_name,friends_count,tweets_count,linkedin,snapchat,instagram,facebook,followers_count,favourites_count,qtyMentions,qtyHashtags,qtyUrls,qtyEmojis,profile_pic_gender,age
abrildomeno,446,36406,False,False,False,True,975,8168,0.22,0.0,0.11,0.21,2,18-24
globaltattooma,13,5325,False,False,False,False,230,0,0.0,0.02,1.09,0.06,2,35-49
catiia_gomezz,1001,69254,False,False,False,False,1269,4806,0.07,0.0,0.05,0.46,0,10-17
chrismacias1510,692,10449,False,False,False,False,723,7660,0.31,0.03,0.18,0.12,1,18-24
capdevila2000,675,771,False,False,False,False,143,250,0.07,0.04,0.02,1.76,2,10-17
camilocampero_,448,7348,False,False,True,False,461,4600,0.22,0.05,0.1,0.43,1,18-24
vcastroemilia,468,519,False,False,False,False,119,1023,0.84,0.31,0.18,0.97,0,25-34
nahuelsantorook,155,26971,False,False,False,False,645,7438,0.29,0.23,0.26,0.65,0,18-24
juanigarayzar,326,25435,False,False,True,False,837,765,0.64,0.02,0.14,0.72,2,18-24
flordirende,64,6596,False,False,True,False,205,6170,0.97,0.18,0.12,1.04,2,10-17
fabiripoll,1163,4625,False,False,False,True,646,1543,0.61,0.07,0.44,0.07,1,18-24
fossatigaston,335,390,False,False,False,True,415,208,0.2,0.01,0.0,1.2,0,10-17
vanechiolini,586,40288,False,False,True,False,939,7449,0.05,0.02,0.08,0.23,0,18-24
mauroleguiok,378,1190,False,False,False,True,404,246,0.26,1.45,0.38,0.48,1,25-34
aniitacaru,475,41408,False,True,False,True,834,8459,0.31,0.17,0.19,0.48,2,18-24
markuriger,439,18662,False,True,True,False,475,7678,0.45,0.01,0.17,0.26,0,18-24
pachogruas,338,319,False,False,False,False,128,22,0.7,0.76,0.38,0.07,0,25-34
sorianomarina,598,989,True,False,False,False,478,89,1.02,0.45,0.35,0.14,2,18-24
valelucas_95,415,16108,False,False,False,False,414,2236,0.04,0.0,0.07,0.85,0,18-24
caraballoce,921,2653,False,False,False,False,418,8992,1.5,0.17,0.15,1.38,2,10-17
merlogonzaloo,927,1050,False,False,False,False,537,723,0.24,0.01,0.05,0.43,1,18-24
juliagomezcora,297,2256,False,False,False,False,2482,1541,0.71,0.11,0.21,0.11,2,35-49
andisilva25,194,1866,False,False,False,True,177,1841,0.31,0.07,0.09,0.88,0,18-24
miqqaelamicaela,673,25401,False,False,False,False,766,3456,0.13,0.01,0.04,1.68,2,18-24
matu_fbv,179,861,False,False,False,False,96,705,0.35,0.01,0.03,0.18,1,18-24
gambaargentina,4994,6666,False,False,False,True,4143,72181,0.92,0.62,0.18,0.09,0,18-24
sofiintvg,1329,43538,False,False,False,False,1659,13074,0.32,0.0,0.2,0.49,2,18-24
charoizquierdo,2299,24048,False,False,True,False,23111,3914,0.78,0.92,0.71,0.07,2,50-64
barbykubar,1739,29867,False,False,False,False,786,19258,0.16,0.02,0.08,1.5,2,18-24
kaianetaiel27,448,2586,False,False,False,False,351,666,0.0,0.0,0.0,1.0,2,18-24
deboh_perla,271,8866,False,True,False,False,416,8765,0.18,0.01,0.01,0.88,0,18-24
abricabrera69,497,10666,False,False,True,False,658,579,0.01,0.0,0.07,0.17,2,10-17
canelulyyy,903,5689,False,False,False,False,504,255,0.0,0.21,0.03,0.48,2,18-24
robcarballo,2840,16012,False,False,False,False,2743,5,0.9,0.12,0.25,0.07,1,50-64
learojitaaaaa,161,4244,False,False,False,False,393,940,0.12,0.05,0.07,0.23,1,18-24
maripuchi,1872,40393,False,False,False,False,7207,7736,0.97,0.36,0.2,0.47,2,35-49
nachogmoreira,2347,18233,False,False,False,False,1612,5896,0.59,0.06,0.06,0.41,0,18-24
marcecosta1891,161,93092,False,False,False,False,1402,6729,0.09,0.01,0.18,0.03,1,18-24
daysanabria96,421,3133,False,False,False,False,711,1137,0.55,0.03,0.04,0.35,2,10-17
facuureynoso99,237,1866,False,False,True,False,231,1638,0.46,0.0,0.11,0.39,1,18-24
velazquezkevin1,311,6482,False,False,True,False,459,1168,0.08,0.0,0.04,0.71,0,18-24
nadiaohaco,478,731,False,False,True,False,540,1729,0.36,0.19,0.18,0.78,2,10-17
yaamiimz,634,9307,False,False,False,False,703,1134,0.08,0.0,0.0,1.04,2,18-24
alduad,618,2079,False,False,False,False,639,849,0.14,0.01,0.09,0.99,2,10-17
worldreaders,13479,9790,False,False,False,False,16853,7374,1.15,0.27,0.64,0.09,0,35-49
alaanpedraza,153,2832,False,False,False,False,182,847,0.24,0.15,0.01,0.35,1,18-24
pizzasingkaraok,1645,36859,False,False,False,False,1336,6564,0.17,0.69,0.89,0.49,0,25-34
agustinbd,95,4445,False,False,False,False,86,960,0.4,0.26,0.13,0.13,1,25-34
caamitrezza,458,9306,False,False,True,True,720,4852,0.12,0.0,0.21,0.32,0,18-24
mariouberti,333,4337,False,False,False,False,5896,82,0.15,0.01,0.43,0.04,1,25-34
lupecarola,509,52840,False,True,False,True,785,11808,0.15,0.0,0.03,0.46,0,18-24
abrucelibertiok,540,33463,False,False,False,False,888,12506,0.48,0.01,0.06,1.03,0,18-24
jorge_frias1968,50,1576,False,False,False,False,193,538,0.97,0.25,0.27,0.06,1,18-24
trilceramona,46,597,False,False,False,False,30,5,0.63,0.16,0.16,0.03,1,25-34
jazdistefaano,727,16229,False,False,False,False,971,3173,0.65,0.0,0.05,0.3,0,10-17
mikomonik,247,5088,False,False,False,False,272,17,0.41,0.99,0.41,0.26,2,18-24
aluuzotta,425,3337,False,False,False,False,425,970,0.39,0.08,0.01,0.58,2,18-24
milulaarroquy,407,35375,False,False,False,False,703,6730,0.25,0.03,0.09,1.62,2,18-24
milibertoldi,177,6092,False,False,False,False,268,2937,0.14,0.03,0.05,0.39,2,18-24
melaalvarezok,898,32218,False,False,False,True,684,10588,0.0,0.0,0.0,1.0,2,10-17
luudmiipeerez,343,15692,False,False,False,False,452,7141,0.14,0.0,0.01,0.87,2,10-17
camila_martino,801,11362,False,False,True,False,1329,1968,0.11,0.0,0.04,0.99,2,18-24
andrea46r,394,2357,False,False,False,False,55,3724,0.89,0.42,0.0,2.01,0,35-49
briangonzaa,995,12980,False,False,True,False,1778,6950,0.03,0.0,0.0,0.33,1,10-17
alexistokayukok,858,37421,False,False,False,True,1506,15811,0.42,0.03,0.1,0.52,1,18-24
stellamariss22,36,895,False,False,False,False,35,1394,2.34,0.0,0.0,7.48,2,35-49
nicolastripoli,401,15081,False,True,False,False,499,1616,0.23,0.08,0.08,0.23,0,18-24
celestenadalin,298,2784,False,False,False,False,533,2620,0.65,0.11,0.06,0.82,0,18-24
lucasanhornok,294,10162,False,True,True,False,451,3587,0.2,0.03,0.17,1.45,1,10-17
jluisfoglia,150,4157,False,False,False,False,98,1128,0.91,0.09,0.21,0.03,1,10-17
ampii_sola,871,45925,False,False,False,False,2466,12552,0.25,0.01,0.05,1.13,0,10-17
maria_vega_,567,1519,False,False,False,False,1574,215,0.88,0.04,0.32,0.14,0,25-34
anfavalok,562,48175,False,False,False,True,657,6883,0.55,0.67,0.72,0.47,2,18-24
msconcu,1366,34687,False,False,False,False,3207,5277,0.79,0.49,0.42,0.52,2,35-49
mikaela241206,5001,336,False,False,True,False,3204,952,0.94,0.39,0.01,0.23,2,18-24
jennifer_okk,1899,1717,False,False,False,True,2217,5584,0.08,0.17,0.08,1.92,2,18-24
leitogioiosa,462,9935,False,True,True,False,960,11368,0.38,0.0,0.09,0.22,1,10-17
brmvcc,612,3174,False,False,True,False,205,1095,0.74,0.51,0.28,0.03,0,25-34
candelarodrgu13,137,1399,False,False,False,False,69,220,0.04,0.0,0.01,1.67,2,10-17
leytonley,1616,18639,False,True,True,False,2474,7761,0.3,0.0,0.14,0.57,2,18-24
ailenskerlj,3659,48919,False,True,True,True,3486,1041,0.04,0.0,0.04,0.44,2,18-24
sugacabrera,1113,124266,False,False,False,False,2013,806,0.1,0.03,0.09,0.81,0,18-24
diego_acevedo1,407,5267,False,False,False,False,594,392,0.16,0.2,0.09,0.45,1,18-24
nacho_real_11,805,25185,False,False,False,True,735,4927,0.42,0.01,0.11,1.22,0,18-24
carorossio1,416,14375,False,False,True,False,471,2892,0.37,0.01,0.04,0.57,2,18-24
